id,Introvert_score,bin__Stage_fear,bin__Drained_after_socializing,num__Time_spent_Alone,num__Social_event_attendance,Personality
0,0,0,0,0,6,Extrovert
1,0,0,0,1,7,Extrovert
2,5,1,0,6,1,Introvert
3,0,0,0,3,7,Extrovert
4,0,0,0,1,4,Extrovert
5,0,0,0,2,8,Extrovert
7,1,0,0,2,8,Extrovert
8,4,1,0,4,2,Introvert
9,0,0,0,1,8,Extrovert
10,1,0,0,3,7,Extrovert
11,1,0,0,2,6,Extrovert
12,0,0,0,3,5,Extrovert
14,0,0,0,3,6,Extrovert
15,1,0,0,2,7,Extrovert
16,0,0,0,0,6,Extrovert
17,4,0,1,5,0,Introvert
18,0,0,0,1,4,Extrovert
19,0,0,0,1,5,Extrovert
20,0,0,0,1,9,Extrovert
21,3,1,1,6,3,Introvert
22,4,0,1,4,0,Introvert
23,1,0,0,3,9,Extrovert
24,0,0,0,1,5,Extrovert
25,3,1,1,9,1,Introvert
26,0,0,0,3,6,Extrovert
27,5,0,1,9,0,Introvert
28,1,0,0,2,5,Extrovert
29,4,1,1,2,1,Introvert
30,1,0,0,3,9,Extrovert
32,1,0,0,1,9,Extrovert
33,0,0,0,2,7,Extrovert
34,5,1,0,5,1,Introvert
35,3,1,1,6,2,Introvert
36,1,0,0,3,6,Extrovert
37,1,0,0,2,7,Extrovert
38,0,0,0,2,8,Extrovert
39,0,0,0,0,5,Extrovert
40,0,0,0,0,8,Extrovert
41,0,0,0,2,6,Extrovert
42,1,0,0,2,6,Extrovert
43,0,0,0,0,9,Extrovert
44,5,1,1,9,1,Introvert
45,0,0,0,2,6,Extrovert
46,0,0,0,2,7,Extrovert
47,0,0,0,0,4,Extrovert
48,4,1,1,10,1,Introvert
49,1,0,0,2,9,Extrovert
50,4,1,1,7,5,Introvert
51,1,0,0,0,3,Extrovert
52,1,0,0,0,7,Extrovert
53,3,1,1,6,3,Introvert
54,2,1,1,4,3,Introvert
55,4,1,1,9,0,Introvert
56,0,0,0,3,9,Extrovert
57,0,0,0,4,6,Extrovert
58,4,1,1,8,0,Introvert
59,0,0,0,2,8,Extrovert
60,4,1,1,9,4,Introvert
61,1,0,0,0,9,Extrovert
62,0,0,0,2,6,Extrovert
63,3,1,1,8,4,Extrovert
64,5,0,1,9,2,Introvert
65,4,0,1,4,0,Introvert
66,1,0,0,5,8,Extrovert
67,1,0,0,3,5,Extrovert
68,5,1,0,7,0,Introvert
69,3,1,1,4,1,Introvert
70,1,0,0,3,4,Extrovert
71,0,0,0,0,7,Extrovert
72,0,0,0,2,8,Extrovert
73,0,0,0,1,7,Extrovert
74,1,0,0,2,6,Extrovert
75,0,0,0,2,7,Extrovert
76,5,1,1,10,0,Introvert
77,3,1,0,5,2,Introvert
78,1,0,0,0,5,Extrovert
79,0,0,0,1,4,Extrovert
80,1,0,0,2,9,Extrovert
81,0,0,0,4,8,Extrovert
82,0,0,0,0,6,Extrovert
83,3,1,1,9,5,Introvert
84,1,0,0,3,7,Extrovert
85,1,0,0,0,6,Extrovert
86,0,0,0,1,8,Extrovert
87,5,0,1,11,0,Introvert
89,1,0,0,2,5,Extrovert
90,0,0,0,0,5,Extrovert
91,1,0,0,3,3,Extrovert
92,5,0,1,10,1,Introvert
93,0,0,0,1,9,Extrovert
94,1,0,0,2,5,Extrovert
95,1,0,0,0,8,Extrovert
96,3,0,1,9,1,Introvert
97,3,1,1,4,3,Introvert
98,0,0,0,0,6,Extrovert
99,0,0,0,2,6,Extrovert
100,1,0,0,1,6,Extrovert
101,0,0,0,2,10,Extrovert
102,5,1,1,6,2,Extrovert
103,0,0,0,0,6,Extrovert
104,0,0,0,2,6,Extrovert
105,5,1,0,8,0,Introvert
106,0,0,0,2,10,Extrovert
107,1,0,0,2,4,Extrovert
108,1,0,0,9,6,Extrovert
109,1,0,0,2,6,Extrovert
110,0,0,0,0,9,Extrovert
111,0,0,0,3,4,Extrovert
112,1,0,0,3,5,Extrovert
113,0,0,0,0,10,Extrovert
114,4,1,1,5,0,Introvert
115,0,0,0,2,4,Extrovert
116,0,0,0,1,4,Extrovert
117,0,0,0,0,6,Extrovert
118,0,0,0,3,4,Extrovert
119,4,1,1,10,5,Introvert
120,0,0,0,1,9,Extrovert
121,3,1,1,9,3,Introvert
122,5,1,1,6,1,Introvert
123,3,1,1,7,3,Introvert
124,0,0,0,4,7,Introvert
125,0,0,0,1,6,Extrovert
126,1,0,0,3,4,Extrovert
127,1,0,0,1,9,Extrovert
128,0,0,0,1,4,Extrovert
129,0,0,0,2,4,Extrovert
130,4,1,1,10,0,Introvert
131,0,0,0,2,9,Extrovert
132,0,0,0,2,8,Extrovert
133,1,0,0,0,5,Extrovert
134,0,0,0,3,4,Extrovert
135,0,0,0,3,9,Extrovert
136,0,0,0,1,9,Extrovert
137,1,0,0,0,3,Extrovert
138,0,0,0,3,8,Extrovert
139,5,0,1,11,2,Extrovert
140,0,0,0,4,7,Extrovert
141,0,0,0,2,8,Extrovert
142,0,0,0,1,7,Extrovert
143,0,0,0,1,3,Extrovert
144,0,0,0,3,4,Extrovert
145,0,0,0,1,4,Extrovert
146,0,0,0,1,7,Extrovert
147,3,1,1,7,3,Introvert
148,0,0,0,1,9,Extrovert
149,0,0,0,0,4,Introvert
150,4,1,1,6,5,Introvert
151,5,0,1,7,0,Introvert
152,3,1,1,2,1,Introvert
153,0,0,0,0,6,Extrovert
154,1,0,0,2,4,Extrovert
155,4,1,1,10,0,Introvert
156,5,1,1,10,0,Introvert
157,1,0,0,3,5,Extrovert
159,4,0,1,10,3,Introvert
160,0,0,0,0,9,Extrovert
161,0,0,0,2,6,Extrovert
162,0,0,0,0,7,Extrovert
163,4,1,1,4,2,Introvert
164,0,0,0,2,9,Extrovert
166,0,0,0,1,7,Extrovert
167,0,0,0,3,6,Extrovert
169,5,1,1,7,1,Introvert
170,0,0,0,1,5,Extrovert
171,0,0,0,2,7,Extrovert
172,0,0,0,2,8,Extrovert
173,0,0,0,2,9,Extrovert
174,1,0,0,3,10,Extrovert
175,0,0,0,2,6,Extrovert
176,0,0,0,2,7,Extrovert
177,0,0,0,4,8,Extrovert
178,1,0,0,3,3,Extrovert
179,5,1,0,10,0,Introvert
180,3,1,1,8,3,Introvert
181,0,0,0,1,9,Extrovert
182,4,1,1,11,4,Introvert
183,0,0,0,2,6,Extrovert
184,1,0,0,1,7,Extrovert
185,0,0,0,3,4,Extrovert
186,1,0,0,1,7,Extrovert
187,4,1,1,10,2,Introvert
188,0,0,0,0,6,Extrovert
189,3,1,1,6,3,Introvert
190,4,0,1,6,3,Introvert
191,0,0,0,0,9,Extrovert
192,0,0,0,2,5,Extrovert
193,0,0,0,1,4,Extrovert
194,1,0,0,2,9,Extrovert
195,0,0,0,0,7,Extrovert
196,1,0,0,3,4,Extrovert
197,0,0,0,1,4,Extrovert
198,0,0,0,2,9,Extrovert
199,0,0,0,3,8,Extrovert
202,0,0,0,2,5,Extrovert
203,0,0,0,1,3,Extrovert
204,0,0,0,0,6,Extrovert
205,2,1,1,7,3,Introvert
206,0,0,0,1,8,Extrovert
207,0,0,0,1,9,Extrovert
208,0,0,0,0,4,Extrovert
209,0,0,0,0,8,Extrovert
210,5,1,1,6,0,Introvert
211,3,1,1,10,3,Introvert
212,1,0,0,1,8,Extrovert
213,5,0,1,8,2,Introvert
214,4,1,0,4,2,Introvert
215,0,0,0,1,6,Extrovert
216,5,1,0,5,1,Introvert
218,0,0,0,3,9,Extrovert
219,1,0,0,2,9,Extrovert
220,5,0,1,9,1,Introvert
221,0,0,0,1,8,Extrovert
222,0,0,0,0,10,Extrovert
223,0,0,0,3,5,Extrovert
224,0,0,0,3,8,Extrovert
225,1,0,0,2,5,Extrovert
226,1,0,0,4,7,Extrovert
227,0,0,0,3,9,Extrovert
228,0,0,0,1,8,Extrovert
230,0,0,0,3,5,Extrovert
231,0,0,0,0,5,Extrovert
232,5,1,1,11,1,Introvert
233,1,0,0,2,8,Extrovert
235,1,0,0,2,4,Extrovert
236,5,1,0,9,1,Introvert
237,0,0,0,0,4,Extrovert
238,4,1,1,11,2,Introvert
239,3,1,1,11,3,Introvert
240,0,0,0,0,5,Extrovert
241,4,1,1,2,1,Introvert
242,0,0,0,3,5,Extrovert
243,0,0,0,3,6,Extrovert
244,0,0,0,4,4,Extrovert
245,2,0,0,10,3,Introvert
246,0,0,0,3,5,Extrovert
247,0,0,0,2,9,Extrovert
248,2,0,0,7,4,Extrovert
249,5,1,0,10,1,Introvert
250,0,0,0,1,9,Extrovert
251,1,0,0,1,7,Extrovert
252,5,0,1,10,0,Introvert
253,0,0,0,1,10,Extrovert
254,0,0,0,2,8,Extrovert
255,1,0,0,1,8,Extrovert
256,0,0,0,0,9,Extrovert
257,0,0,0,2,5,Extrovert
258,0,0,0,2,6,Extrovert
259,4,1,1,10,2,Introvert
